category,has_experience,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,category_encoded
HR,0,0.4034101478175164,-0.12969363158749256,-0.06780754310064896,-0.07981609409489669,0.11243210213043187,0.016286787551496894,0.015095394490254935,0.14470778285331687,0.04847781038482677,-0.021521596520895175,36
HR,0,0.39552232658269826,0.008136292488984596,-0.0597810392705443,0.1156141079990844,-0.23859828403212976,0.08164115297820494,-0.04176336387382791,0.265250715801635,0.06341049132263935,0.10907643883471464,36
HR,1,0.38978276295045755,-0.0032619206934997947,0.016467936744536928,0.03507583482663868,-0.2144147530350546,0.06103124377537837,-0.11507698786349789,0.4166177446622641,0.06235613929334985,0.1808928610449308,36
HR,0,0.4102389493602403,-0.023043842881361035,0.05450062656662214,-0.07290982184923449,-0.1568525866598052,0.010602458896659919,-0.12974262185355506,0.513132813611882,0.016009326375342126,0.24379739398239733,36
HR,1,0.3861868041989976,-0.06459826859451034,0.06513466716187961,-0.06835183836786672,-0.16557380850468315,0.03695099478252743,-0.1620971263003876,0.5277239596617127,0.0459160231733341,0.2580210847694551,36
HR,0,0.38763152695634495,-0.039581596516315494,0.023848594286215673,-0.08516594682071169,-0.1037730469446233,0.06382501165962456,-0.14015950937116722,0.3228542791416632,0.04719326340655542,0.15740702941704524,36
HR,0,0.3692384700267031,-0.057385102623690065,0.10596003261096819,-0.09830901228073216,-0.12270379056283905,0.014218747555170372,-0.10486920198005496,0.420219035958155,0.03034342457686412,0.21962704557731033,36
HR,0,0.4231659971495911,-0.10718759564839686,0.011801306607708251,-0.1585163881397249,-0.12100549174749246,0.0406612241117659,-0.06777947480515864,0.44722346722121126,0.06169165857510502,0.22272286364843183,36
HR,1,0.40461563948623597,-0.0065379127832283675,0.11900470012285039,-0.06656911755621461,-0.08295829543298112,-0.09062465227231888,-0.005068843779419835,0.18841406931809757,0.011381457762854104,0.1637080589192875,36
HR,1,0.4539434136810445,-0.04183407347099381,-0.08747724218039603,-0.13527099180432894,-0.13105183690763583,0.1634655288640531,-0.06531901213543484,-0.06308768852818515,0.02343622253503268,0.05718394118293679,36
HR,0,0.4949798657073574,-0.16158576844157987,-0.01970638260858239,-0.0532756627932849,0.01700229361067866,0.050436390351378466,-0.15072374028931443,0.3177987439631215,0.04013349486231589,0.22320400908879892,36
HR,1,0.3826440560324124,-0.018927850326527912,0.07244760031117516,-0.044512439306878836,-0.14160667218056563,0.018588308577395882,-0.17616799191950536,0.527076371221673,0.06726040563373077,0.2505290986056638,36
HR,0,0.407471140552071,-0.017404157551189445,0.02838820780961896,0.03936331424862725,-0.17514702297429963,0.014314943313500215,-0.1025238081301082,0.5143658488534774,0.10243574821635362,0.21132267434974794,36
HR,1,0.3970422977872819,-0.03236777915819617,0.027591487008403085,-0.06144996046013637,-0.13033372949290883,0.037874307306238274,-0.13572362873110894,0.45472422730028106,0.049085654745626255,0.21667040562180848,36
HR,0,0.4140180714833746,-0.14520955979556047,0.08186825506370396,-0.08001156215590886,0.01691269905240683,0.03633011445313016,-0.1366399133059164,0.25752703250834363,0.01490393113365974,0.1555667968992207,36
HR,0,0.4344980220601396,-0.05745405671968779,0.08656033177972783,-0.02070687906474401,-0.16102781789909493,0.033634774635859184,-0.11696704640497423,0.4919927361704113,0.03847542188178043,0.202496682727361,36
HR,0,0.521432451282344,-0.10543091476230072,-0.015329961571433898,-0.03703153741339471,-0.0010584934653238912,-0.018903184624286327,-0.08251798740175549,0.3548868612836222,0.03858274164188392,0.16703160291519964,36
HR,0,0.31973755982083335,0.0020367065916019134,0.043327561432431994,-0.014232432453020308,-0.11565188380862937,0.0011258978814614896,-0.11379162827402613,0.33331407589024437,0.029624813707423727,0.14561362457458188,36
HR,0,0.478301797724483,-0.07372556790710058,0.1212114559913849,-0.06182858514949457,-0.04417134468631262,0.03828793269077954,-0.056314350926805985,0.14077973123807624,0.013494358800818729,0.06888697306966082,36
HR,1,0.38194261907793137,-0.06139221400336151,0.1415425286231432,-0.08765582761988819,-0.1259312497505842,0.02503875573397582,-0.12879823791235043,0.3911298597152292,0.04140230541233396,0.15947993572067393,36
HR,0,0.36595145288867714,0.03867842534272398,0.0772935400736275,-0.01431105152343566,-0.08000654074417873,0.008796081712243099,-0.12237276760614166,0.28551155774117204,0.10957149974480543,0.206730028951178,36
HR,1,0.46212042734755493,0.06820201473781955,0.05597933496361918,-0.0750952767318459,-0.16488902840562988,-0.03036905333466337,-0.0997375356270849,0.3615112248779117,0.10709960310275901,0.249513701377475,36
HR,0,0.4368859910110583,-0.05279502415475475,0.07290968402215448,-0.07500813373368036,-0.10988576654505226,0.03132997820160155,-0.1640264545544911,0.4551430244506517,0.038387541861271385,0.1739606897549225,36
HR,0,0.4941532948677442,-0.08864467177295529,0.045807257844952945,-0.009813826819781275,-0.02685140569380391,0.007556982857597803,-0.08648160572052477,0.07934407307386827,-0.016542730358218495,0.003115338396299606,36
HR,0,0.47552292472212776,-0.06645535965983644,0.09791110419620855,-0.06482462090090363,-0.0007107002789412978,0.023746303237964124,0.003911757985615508,0.29634006057603096,0.031181163601442505,0.10905485490518703,36
HR,0,0.4740093500319578,-0.05072974377159761,-0.02919918511778797,-0.01367920044649655,0.004053234560680166,0.03003203079119357,-0.009653644495225822,0.16657965988916174,0.06220566742371253,0.07358711825753597,36
HR,1,0.4745299376690961,-0.11034817525032854,0.04050184220410654,-0.04731852432548234,-0.019092425352548313,-0.0021043132557993054,0.16859963413838186,0.435447018911166,0.22004879979988007,0.10441504457344908,36
HR,0,0.4210875402092661,0.10863121848993675,0.19065071946889486,-0.0441409483068355,-0.08835253764431428,-0.03922326635387858,-0.11245226832574955,0.3015428253846801,0.023273788797566256,0.13368131513124754,36
HR,0,0.39059895408983125,-0.04123082243905847,0.12211394150769377,-0.10969307590875062,-0.0786287220547201,0.01995607041957813,-0.15968591951840616,0.3580912692521096,0.01849569623055887,0.13275744164778716,36
HR,0,0.3212433063231276,-0.004288021135148723,0.010327494732902742,-0.010085728383316343,-0.15276043205541276,0.00939655973995124,-0.08055564015308432,0.2968501743750673,0.07477571769667415,0.19907049472845859,36
HR,1,0.3345053912178541,-0.12680864518589105,0.1862562845329244,-0.12049719830018066,-0.06848733166322017,0.07752995327898789,-0.10105251383831253,0.2564867098525464,-0.0017032673571855579,0.12052190251008,36
HR,1,0.4668490534080111,-0.07696497314537146,0.06350402124042434,-0.09590186212444549,-0.04392638785967028,0.05358268719655061,-0.07766151925082583,0.4018997747498912,0.04599778560889804,0.11073018841597307,36
HR,1,0.4792309679109115,-0.10233230064706757,0.12516896352052714,-0.042286399138101824,-0.09531873610635264,0.038015020529066856,-0.16398512019753644,0.3986475894660805,0.017459655947484307,0.14358462118595297,36
HR,1,0.45644239434678774,-0.11200911229198113,-0.01971378266297295,-0.0737057293691462,0.010925235141719203,0.02447396496546202,-0.15180725406869805,0.33265071262040635,-0.0030395930665620217,0.17561806384815482,36
